year,acousticness,danceability,duration_ms,energy,loudness,instrumentalness,liveness,speechiness,tempo,valence,popularity,key
1921,0.99,0.4115,178040.0,0.2205,-16.0,0.0287,0.1655,0.045950000000000005,92.144,0.4545,0.0,7
1922,0.9940000000000001,0.4895,168053.5,0.201,-18.621000000000002,0.3245,0.1575,0.06665,89.6905,0.549,0.0,10
1923,0.992,0.5765,180347.0,0.2465,-13.9605,0.21799999999999997,0.1725,0.06775,108.38050000000001,0.6114999999999999,4.0,0
1924,0.9940000000000001,0.565,173786.5,0.325,-13.842,0.844,0.18550000000000003,0.0655,118.32249999999999,0.6995,0.0,10
1925,0.9890000000000001,0.575,179360.0,0.239,-13.552,0.174,0.155,0.0756,114.038,0.659,0.0,5
1926,0.992,0.51,175440.0,0.217,-16.137999999999998,0.855,0.133,0.0509,102.234,0.551,0.0,5
1927,0.992,0.69,173000.0,0.221,-14.622,0.293,0.11699999999999999,0.08199999999999999,115.626,0.705,0.0,7
1928,0.992,0.506,179080.0,0.19,-16.423,0.79,0.122,0.0501,110.596,0.523,0.0,7
1929,0.991,0.6545000000000001,176026.5,0.21600000000000005,-13.5425,0.35150000000000003,0.131,0.079,117.52199999999999,0.6940000000000001,0.0,7
1930,0.988,0.502,188853.0,0.313,-11.669,0.16899999999999998,0.155,0.0529,109.684,0.6629999999999999,0.0,2
1931,0.985,0.518,182360.0,0.242,-15.574000000000002,0.183,0.174,0.0562,108.32799999999999,0.627,0.0,5
1932,0.973,0.5670000000000001,183000.0,0.244,-12.913,0.0407,0.16899999999999998,0.0578,118.609,0.614,0.0,5
1933,0.97,0.615,178700.0,0.242,-12.486500000000001,0.0007050000000000001,0.158,0.0549,113.321,0.661,3.0,5
1934,0.9740000000000001,0.5475,184687.0,0.2145,-14.706999999999999,0.0223,0.153,0.055499999999999994,117.82150000000001,0.5834999999999999,0.0,0
1935,0.965,0.522,189328.0,0.2525,-13.6035,0.07475,0.155,0.0472,109.93,0.5435,0.0,7
1936,0.961,0.5469999999999999,179167.0,0.2855,-11.9415,0.136,0.156,0.048850000000000005,110.73349999999999,0.5854999999999999,0.0,5
1937,0.9520000000000001,0.583,181200.0,0.262,-12.544,0.0656,0.163,0.0534,114.00299999999999,0.638,0.0,7
1938,0.975,0.495,192066.0,0.2415,-14.0415,0.244,0.17,0.0488,111.284,0.5295000000000001,0.0,0
1939,0.966,0.522,182462.5,0.265,-13.16,0.03345,0.16399999999999998,0.0509,112.7815,0.5915,0.0,0
1940,0.982,0.47200000000000003,192453.0,0.3595,-11.3235,0.2585,0.158,0.0464,105.17099999999999,0.665,0.0,7
1941,0.981,0.48650000000000004,182089.5,0.20850000000000002,-15.384,0.41100000000000003,0.139,0.054849999999999996,104.4005,0.502,0.0,7
1942,0.976,0.4605,187447.0,0.22699999999999998,-14.364999999999998,0.194,0.14750000000000002,0.0465,102.8555,0.467,0.0,7
1943,0.975,0.47550000000000003,184228.0,0.23600000000000002,-12.736,0.3035,0.1525,0.05405,99.99600000000001,0.5529999999999999,0.0,5
1944,0.9840000000000001,0.496,185760.0,0.22699999999999998,-13.102,0.591,0.15,0.0568,103.541,0.598,0.0,7
1945,0.973,0.457,180867.0,0.223,-14.714,0.149,0.15,0.0451,101.43700000000001,0.489,0.0,7
1946,0.9835,0.391,189254.5,0.16699999999999998,-17.287,0.6535,0.138,0.0454,97.3675,0.331,0.0,7
1947,0.971,0.478,189593.5,0.23399999999999999,-13.609499999999999,0.11,0.155,0.0479,105.805,0.532,0.0,0
1948,0.9690000000000001,0.433,183467.0,0.21600000000000005,-14.32,0.237,0.152,0.0475,103.465,0.434,0.0,0
1949,0.961,0.435,185682.0,0.218,-13.924000000000001,0.0124,0.142,0.0472,105.119,0.405,0.0,0
